english,russian,example,incorrectEnVariant1,incorrectEnVariant2,incorrectEnVariant3,incorrectEnVariant4,incorrectRuVariant1,incorrectRuVariant2,incorrectRuVariant3,incorrectRuVariant4
armored men,вооружённые / бронированные люди,"the armored men who'd put her there…",alarmed men,armored pen,harmored den,charmed men,невооруженные люди,гражданские лица,обычные прохожие,случайные свидетели
dojo,додзё / зал для тренировок,"like she was back in dojo.",mojo,doge,dose,doze,спальная комната,отдыхающая зона,развлекательный центр,игровая площадка
outcropping,выступ / вырост,"An outcropping of the thing shifted toward her.",outdropping,outcrying,outcrowding,outcruising,впадина,углубление,полость,низина
hospital scent,запах больницы,"carrying a hospital scent…",hospital cent,hospital sent,hospital scene,hospital ascent,аромат цветов,запах природы,дух свободы,аромат пищи
pulsed,пульсировал,"Parts of it pulsed.",pursed,paused,pushed,pulped,стоял неподвижно,был статичным,сохранял спокойствие,оставался неизменным
dominated,доминировал / занимал центр,"The fusion reactor dominated the central space.",nominate,dominoed,domiciled,denominated,занимал угол,стоял в стороне,располагался с краю,находился на периферии
time stamps,временные метки,"logs with false time stamps.",tame stamps,time stomps,time clamps,time scamps,постоянные метки,случайные отметки,ложные данные,фиктивные записи
rolled over,покорно подчинился,"Captain Darren had rolled over like a dog.",tolled over,bowled over,controlled over,enrolled over,активно сопротивлялся,упорно противостоял,решительно отказался,смело возразил
hinges,петли (дверные),"the three hinges and the locking bolt…",hinged,hinger,hangers,hedges,дверные ручки,оконные рамы,напольные покрытия,потолочные балки
sensor logs,журналы сенсоров,"The few sensor logs that still streamed…",sensor legs,sensor dogs,sensor lags,censor logs,ручные записи,случайные заметки,преднамеренные искажения,фиктивные отчеты
radiation leak,утечка радиации,"Something had happened. A radiation leak.",radiation peak,radiation lean,radiation leaf,radiation leek,утечка воды,утечка воздуха,утечка информации,утечка энергии
disarray,беспорядок,"Tools and containers in disarray.",disarm,dismay,disagree,disavow,порядок,организованность,аккуратность,систематизированность
