english,russian,example,incorrectEnVariant1,incorrectEnVariant2,incorrectEnVariant3,incorrectEnVariant4,incorrectRuVariant1,incorrectRuVariant2,incorrectRuVariant3,incorrectRuVariant4
took a village,требовало коллективных усилий,"this book took a village.",cook a village,book a village,look at village,talk to village,требовало индивидуальных усилий,требовало случайных усилий,требовало минимальных усилий,требовало особых усилий
express my deep gratitude,выразить глубокую благодарность,"I would like to express my deep gratitude…",impress my dog gratitude,depress my seed gratitude,compress my deep attitude,oppress my cheap gratitude,выразить легкую благодарность,выразить поверхностную признательность,выразить формальную благодарность,выразить обычную признательность
instrumental,сыгравший ключевую роль,"Also instrumental in the early formation of the book…",mental,detrimental,fundamental,ornamental,сыгравший второстепенную роль,сыгравший незначительную роль,сыгравший временную роль,сыгравший случайную роль
early draft,ранняя версия рукописи,"who read an early draft.",earlier craft,yearly draft,pearly graft,clearly daft,поздняя версия рукописи,окончательная версия текста,черновая копия документа,предварительный набросок
owe an enormous debt,быть чрезвычайно обязанным,"I also owe an enormous debt to Tom…",own a normal debt,know a enormous death,show a tremendous depth,grow an enormous daft,быть немного обязанным,быть частично благодарным,иметь небольшую задолженность,чувствовать легкую признательность
beta testing,бета-тестирование,"Thanks, guys, for doing the beta testing.",better resting,data testing,meta investing,theta jesting,альфа-тестирование,гамма-проверка,финальное тестирование,пробная версия
encourage me to daydream,побуждают меня мечтать,"who encourage me to daydream about spaceships",discourage me to daytime,encase me to daybreak,encounter me to daylight,encompass me to daytime,отговаривают меня мечтать,позволяют мне работать,заставляют меня действовать,предлагают мне отдыхать
ready to be shot,готова быть расстрелянной,"Julie Mao was finally ready to be shot.",steady to be shout,read to be short,red to be shirt,head to be sport,готова быть сфотографированной,готова к запуску,готова к старту,готова к полету
armored men,вооружённые, бронированные люди,"the armored men who'd put her there…",alarmed men,armored pen,harmored den,charmed men,невооруженные люди,гражданские лица,обычные прохожие,случайные свидетели
gentle touches,лёгкие касания,"using gentle touches to keep herself from bumping…",mental touches,gentle torches,central couches,general touches,грубые касания,сильные удары,резкие движения,тяжелые прикосновения
loamy water,вода с землистым привкусом,"the warm loamy water in the suit's reservoir bag…",foamy water,loony water,loopy water,lofty water,чистая вода,прозрачная жидкость,свежая влага,фильтрованная вода
reservoir bag,резервуарный мешок,"in the suit's reservoir bag…",preserve bag,deserve bag,observe bag,conserve bag,обычный мешок,пластиковый пакет,тканевый контейнер,металлическая емкость
relieved herself,справила нужду,"she… relieved herself into it.",believed herself,received herself,deceived herself,conceived herself,наполнила себя,очистила себя,умыла себя,привела себя в порядок
